요금제명,통신사,요금제유형,데이터제공량,월요금(원),활성여부
 스쿨 7GB+(밀리의 서재) ,후불)스카이,LTE,7GB+1Mbps,"16,200 ",TRUE
 골드 4.0GB+ ,후불)스카이,LTE,4GB+1Mbps,"9,900 ",TRUE
 골드 8.0GB+ ,후불)스카이,LTE,8GB+1Mbps,"13,900 ",TRUE
 모두 충분 2.5GB+ ,후불)스카이,LTE,2.5GB+400Kbps,"11,800 ",TRUE
 모두 충분 7GB+(밀리의서재) ,후불)스카이,LTE,7GB+1Mbps,"16,200 ",TRUE
 모두 충분 11GB+(밀리의서재) ,후불)스카이,LTE,11GB+일2GB+3Mbps,"33,100 ",TRUE
 이동의즐거움 K-패스 (100GB+/통화기본) ,후불)미디어,LTE,100GB+5Mbps무제한,"41,900",TRUE
 이동의즐거움 K-패스 (71GB+/통화기본) ,후불)미디어,LTE,11GB+일2GB+3Mbps무제한,"34,900",TRUE
 이동의즐거움 K-패스 (7GB+/통화기본) ,후불)미디어,LTE,7GB+1Mbps무제한,"18,600",TRUE
 이동의즐거움 K-패스 (1GB+/통화기본) ,후불)미디어,LTE,1GB+1Mbps무제한,"13,400",TRUE
 LTE 스페셜 플러스 N ,후불)미디어,LTE,100GB+5Mbps무제한,"41,900",TRUE
 LTE 스페셜 [약정형] ,후불)미디어,LTE,11GB+일2GB+3Mbps무제한,"32,990",TRUE
 LTE (7GB+/통화기본) [약정형] ,후불)미디어,LTE,7GB+1Mbps무제한,"15,900",TRUE
 LTE (1GB+/통화기본) [약정형] ,후불)미디어,LTE,1GB+1Mbps무제한,"9,900",TRUE
 LTE 스페셜 프로 ,후불)미디어,LTE,일5GB+5Mbps무제한,"41,900",TRUE
 LTE 스페셜 ,후불)미디어,LTE,11GB+일2GB+3Mbps무제한,"34,900",TRUE
 LTE (15GB+/100분) ,후불)미디어,LTE,15GB+3Mbps무제한,"26,500",TRUE
 데이터플러스 (15GB+/100분) ,후불)미디어,LTE,15GB+10GB+3Mbps무제한,"29,500",TRUE
 LTE (10GB+/통화기본) ,후불)미디어,LTE,10GB+1Mbps무제한,"22,900",TRUE
 LTE (7GB+/통화기본) ,후불)미디어,LTE,7GB+1Mbps무제한,"18,600",TRUE
 LTE (6GB+/통화기본) ,후불)미디어,LTE,6GB+1Mbps무제한,"17,600",TRUE
 LTE (9GB/3000분) ,후불)미디어,LTE,9GB,"15,900",TRUE
 LTE (5GB+/200분) ,후불)미디어,LTE,5GB+1Mbps무제한,"14,900",TRUE
 LTE (1GB+/통화기본) ,후불)미디어,LTE,1GB+1Mbps무제한,"13,400",TRUE
 LTE (1.5GB/통화기본) ,후불)미디어,LTE,1.5GB,"7,900",TRUE
 LTE (2.5GB/통화기본) ,후불)미디어,LTE,2.5GB,"9,500",TRUE
 LTE (4GB/통화기본) ,후불)미디어,LTE,4GB,"10,900",TRUE
 LTE (4.5GB+/통화기본) ,후불)미디어,LTE,4.5GB+1Mbps무제한,"15,900",TRUE
 LTE (6GB/통화기본) ,후불)미디어,LTE,6GB,"11,500",TRUE
 LTE (1GB+/100분) ,후불)미디어,LTE,1GB+1Mbps무제한,"9,900",TRUE
 LTE (1.5GB/150분) ,후불)미디어,LTE,1.5GB,"6,500",TRUE
 LTE (2.5GB/200분) ,후불)미디어,LTE,2.5GB,"6,900",TRUE
 LTE (2.5GB+/200분) ,후불)미디어,LTE,2.5GB+1Mbps무제한,"12,900",TRUE
 5G (5GB/통화기본) ,후불)미디어,5G,5GB,"10,900",TRUE
 5G (5GB/200분) ,후불)미디어,5G,5GB,"8,900",TRUE
 5G (31GB+/통화기본) ,후불)미디어,5G,31GB+1Mbps무제한,"36,650",TRUE
 슬림 유심 500MB 50분 ,후불)헬로,LTE, 500MB ,"3,300",TRUE
 슬림 유심 1GB 50분 ,후불)헬로,LTE, 1GB ,"4,950",TRUE
 슬림 유심 1GB 100분 ,후불)헬로,LTE, 1GB ,"5,170",TRUE
 슬림 유심 2GB 200분 ,후불)헬로,LTE, 2GB ,"6,600",TRUE
 보편 유심 5GB 200분 ,후불)헬로,LTE, 5GB ,"9,900",TRUE
 DATA 걱정없는 유심 1GB ,후불)헬로,LTE, 1GB+1Mbps무제한 ,"12,900",TRUE
 DATA 걱정없는 유심 4.5GB ,후불)헬로,LTE, 4.5GB+1Mbps무제한 ,"14,500",TRUE
 DATA 걱정없는 유심 5GB ,후불)헬로,LTE, 5GB+1Mbps무제한 ,"17,500",TRUE
 DATA 걱정없는 유심 7GB ,후불)헬로,LTE, 7GB+1Mbps무제한 ,"18,500",TRUE
 DATA 걱정없는 유심 10GB ,후불)헬로,LTE, 10GB+1Mbps무제한 ,"25,000",TRUE
 데이터 더주는 유심 일5GB ,후불)헬로,LTE, 일5GB+10GB+5Mbps ,"44,500",TRUE
 데이터 더주는 유심 7GB ,후불)헬로,LTE, 7GB+10GB+1Mbps ,"21,500",TRUE
 데이터 더주는 유심 10GB ,후불)헬로,LTE, 10GB+10GB+1Mbps ,"28,000",TRUE
 데이터 더주는 유심 15GB ,후불)헬로,LTE, 15GB+10GB+1Mbps ,"32,700",TRUE
 데이터 더주는 유심 11GB ,후불)헬로,LTE, 11GB+10GB+일2GB+3Mbps무제한 ,"36,990",TRUE
 데이터 더주는 유심 15GB 100분 ,후불)헬로,LTE, 15GB+10GB+3Mbps ,"31,820",TRUE
 보편 안심 유심 1GB 100분 ,후불)헬로,LTE, 1GB+1Mbps무제한 ,"22,000",TRUE
 보편 안심 유심 3GB 200분 ,후불)헬로,LTE, 3GB+400Kbps무제한 ,"13,900",TRUE
 보편 안심 유심 5GB 200분 ,후불)헬로,LTE, 5GB+1Mbps무제한 ,"14,400",TRUE
 보편 안심 유심 6GB 200분 ,후불)헬로,LTE, 6GB+1Mbps무제한 ,"35,000",TRUE
 보편 안심 유심 15GB 100분 ,후불)헬로,LTE, 15GB+망내1회선+3Mbps무제한 ,"28,820",TRUE
 The 착한 데이터 유심 0GB ,후불)헬로,LTE, 0GB(데이터차단) ,"7,500",TRUE
 The 착한 데이터 유심 1.3GB ,후불)헬로,LTE, 1.3GB ,"7,900",TRUE
 The 착한 데이터 유심 2.5GB ,후불)헬로,LTE, 2.5GB ,"8,500",TRUE
 The 착한 데이터 유심 3.6GB ,후불)헬로,LTE, 3.6GB ,"10,800",TRUE
 The 착한 데이터 유심 9GB 3000분 ,후불)헬로,LTE, 9GB ,"17,000",TRUE
 The 착한 데이터 유심 11GB ,후불)헬로,LTE, 11.0GB+일2GB+3Mbps무제한 ,"33,990",TRUE
 LTE (2GB/120분) ,단말)미디어,LTE, 2GB ,"20,900",TRUE
 LTE (4GB/200분) ,단말)미디어,LTE, 4GB ,"29,900",TRUE
 LTE (10GB+/200분) ,단말)미디어,LTE, 10GB+1Mbps ,"36,900",TRUE
 LTE (1.5GB/통화기본) ,단말)미디어,LTE, 1.5GB ,"25,900",TRUE
 LTE (4.5GB+/통화기본) ,단말)미디어,LTE, 4.5GB+1Mbps ,"34,900",TRUE
 LTE (6GB+/통화기본) ,단말)미디어,LTE, 6GB+1Mbps ,"34,900",TRUE
 LTE (15GB+/100분) ,단말)미디어,LTE, 15GB+3Mbps ,"45,900",TRUE
 LTE 스페셜 ,단말)미디어,LTE," 11GB
+일2GB
+3Mbps ","49,000",TRUE
 알뜰한(300MB/90분) ,단말)미디어,LTE, 300MB ,"18,500",TRUE
 알뜰한(1GB/120분) ,단말)미디어,LTE, 1GB ,"24,500",TRUE
 알뜰한(1GB+/통화기본) ,단말)미디어,LTE, 1GB+1Mbps ,"30,900",TRUE
 데이터 차단 ,단말)미디어,LTE, 0GB ,"27,900",TRUE
