접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔24192,열)으뜸네트워크,퍼스트모바일,후불)텔링크SK,박종열
S텔24160,열)으뜸네트워크,주식회사왕산정보통신,후불)텔링크SK,박종열
S텔16499,구)으뜸통신(안양),으뜸통신,후불)텔링크SK,서승구
S텔21805,구)은갱텔레콤,은갱텔레콤,후불)텔링크SK,서승구
S텔16539,구)의형제,의형제,후불)텔링크SK,서승구
S텔16223,우)이노모바일,이노모바일,후불)텔링크SK,김선우
S텔20981,영)이니코,이니코,후불)텔링크SK,원세영
S텔24979,구)이다글로벌,쉐어드림 용인점,후불)텔링크SK,서승구
S텔24166,구)이다글로벌,휴대폰성지 중앙점,후불)텔링크SK,서승구
S텔22999,구)이다글로벌,휴대폰성지 도매폰 목동점,후불)텔링크SK,서승구
