Column1,Column2,Column3
L미629209,웅)빈모바일,LG미디어로그
L미118664,수)빈빈(건대),LG미디어로그
L미413418,열)빈텔레콤(송파),LG미디어로그
L미806889,열)뽀로로모바일(인천),LG미디어로그
L미661425,열)뽀로로모바일2호점(인천),LG미디어로그
L미619547,구)삐삐통신(정읍),LG미디어로그
L미386125,영)사계절통신,LG미디어로그
L미804754,수)사계절폰(군포),LG미디어로그
L미789079,수)사계절폰(시흥),LG미디어로그
L미916830,웅)사과모바일,LG미디어로그
L미934915,웅)사랑텔레콤(평창),LG미디어로그
L미535825,영)사랑통신(광주),LG미디어로그
L미076655,열)사하통신(부산),LG미디어로그
L미127879,웅)산성텔레콤,LG미디어로그
L미197735,수)산성텔레콤(공주),LG미디어로그
L미469466,우)삼백통신,LG미디어로그
L미095503,구)삼성스마트모바일(안양),LG미디어로그
L미099136,구)삼성플러스모바일(동작),LG미디어로그
L미841677,수)삼양프라자(미아),LG미디어로그
L미969432,수)삼청통신(은평),LG미디어로그
L미897281,웅)상계폰폰폰,LG미디어로그
L미550289,수)상봉모바일(길동),LG미디어로그
L미550760,웅)상상트레이드,LG미디어로그
L미378162,웅)새내모바일,LG미디어로그
L미094708,열)새론모바일(방화),LG미디어로그
L미390138,영)새별통신,LG미디어로그
L미750731,수)새봄모바일 (마석),LG미디어로그
L미379202,구)새봄통신,LG미디어로그
L미610785,열)새솔11,LG미디어로그
L미988310,열)색깔텔레콤(성남),LG미디어로그
L미449853,수)샛별정보통신 (인천),LG미디어로그
L미724121,영)생생통신,LG미디어로그
L미379192,열)샤인모바일,LG미디어로그
L미354000,민)샤크텔레콤(김포),LG미디어로그
L미234711,구)샴푸폰나라,LG미디어로그
L미959413,웅)서린글로벌,LG미디어로그
L미933256,웅)서린글로벌,LG미디어로그
L미784184,웅)서린글로벌,LG미디어로그
L미377694,수)서브넷(당고개),LG미디어로그
L미411119,열)서안모바일,LG미디어로그
L미852975,민)서우텔(김포),LG미디어로그
L미736443,우)서이,LG미디어로그
