Column1,Column2,Column3
웅)동대문모바일,웅)동대문모바일,KT-VI
웅)동부나이스드림,웅)동부나이스드림,KT-VI
영)동신정보통신,영)동신정보통신,KT-VI
영)동이(송파),영)동이(송파),KT-VI
열)동탄2일등폰,열)동탄2일등폰,KT-VI
준)동탄호수공원,준)동탄호수공원,KT-VI
수)두리서(마석),수)두리서(마석),KT-VI
수)두리텔레콤(동작),수)두리텔레콤(동작),KT-VI
수)두용모바일(용문),수)두용모바일(용문),KT-VI
민)두청년,민)두청년,KT-VI
웅)두폰,웅)두폰,KT-VI
민)드림(부평),민)드림(부평),KT-VI
열)드림모바일(광주),열)드림모바일(광주),KT-VI
영)드림모바일(마산),영)드림모바일(마산),KT-VI
영)드림온정보통신,영)드림온정보통신,KT-VI
구)드림텔레콤(번동),구)드림텔레콤(번동),KT-VI
영)드림텔레콤(안산),영)드림텔레콤(안산),KT-VI
열)드림텔레콤(원주),열)드림텔레콤(원주),KT-VI
구)드림통신(구로),구)드림통신(구로),KT-VI
구)드림통신(전주),구)드림통신(전주),KT-VI
열)든든모바일(안산),열)든든모바일(안산),KT-VI
영)디비통신(동백점),영)디비통신(동백점),KT-VI
영)디비통신(용인),영)디비통신(용인),KT-VI
준)디에스(을지로),준)디에스(을지로),KT-VI
수)디에스모바일(별내),수)디에스모바일(별내),KT-VI
열)디에스솔루션(수원),열)디에스솔루션(수원),KT-VI
영)디에스컴퍼니(대전),영)디에스컴퍼니(대전),KT-VI
영)디제이모바일,영)디제이모바일,KT-VI
영)디지싸본점,영)디지싸본점,KT-VI
열)디피알(성남),열)디피알(성남),KT-VI
수)딩동댕이동통신,수)딩동댕이동통신,KT-VI
웅)딩딩모바일,웅)딩딩모바일,KT-VI
열)따르릉모바일(성남),열)따르릉모바일(성남),KT-VI
영)따베르나(용인),영)따베르나(용인),KT-VI
구)따봉통신(김제),구)따봉통신(김제),KT-VI
수)딸랑이통신,수)딸랑이통신,KT-VI
영)딸부자통신(원주),영)딸부자통신(원주),KT-VI
구)땅폰젤미점(김해),구)땅폰젤미점(김해),KT-VI
구)땡큐모바일(홍제),구)땡큐모바일(홍제),KT-VI
영)똥개텔레콤(부평),영)똥개텔레콤(부평),KT-VI
영)뚜뚜통신,영)뚜뚜통신,KT-VI
구)라나컴퓨터,구)라나컴퓨터,KT-VI
구)라니통신(정읍),구)라니통신(정읍),KT-VI
수)라라네트웍스(의정부),수)라라네트웍스(의정부),KT-VI
수)라라모바일(노원),수)라라모바일(노원),KT-VI
영)라라통신(수원),영)라라통신(수원),KT-VI
구)라베니체폰,구)라베니체폰,KT-VI
민)라온모바일(파주),민)라온모바일(파주),KT-VI
수)라임통신(관악),수)라임통신(관악),KT-VI
구)라피크모바일(중곡),구)라피크모바일(중곡),KT-VI
준)람경통신,준)람경통신,KT-VI
준)랍스마트폰,준)랍스마트폰,KT-VI
열)러브모바일(대전),열)러브모바일(대전),KT-VI
준)러화국제,준)러화국제,KT-VI
구)럭키정보통신,구)럭키정보통신,KT-VI
영)레드모바일,영)레드모바일,KT-VI
영)레드모바일(안동),영)레드모바일(안동),KT-VI
준)레전드,준)레전드,KT-VI
수)렐레(창동),수)렐레(창동),KT-VI
열)로또텔레콤(고척),열)로또텔레콤(고척),KT-VI
수)로원텔레콤(의정부),수)로원텔레콤(의정부),KT-VI
수)루시(길동),수)루시(길동),KT-VI
수)루아모바일(장현),수)루아모바일(장현),KT-VI
수)루키텔레콤(수진),수)루키텔레콤(수진),KT-VI
수)루하이모바일(청평),수)루하이모바일(청평),KT-VI
열)리더스텔레콤(교대점),열)리더스텔레콤(교대점),KT-VI
웅)리더정보통신(청주),웅)리더정보통신(청주),KT-VI
열)리사모바일(광주),열)리사모바일(광주),KT-VI
민)리아,민)리아,KT-VI
수)리치모바일(동대문),수)리치모바일(동대문),KT-VI
열)리프로젝트솔루션(창원),열)리프로젝트솔루션(창원),KT-VI
수)마루텔레콤(왕십리),수)마루텔레콤(왕십리),KT-VI
영)마마통신,영)마마통신,KT-VI
구)마모텔레콤(용산),구)마모텔레콤(용산),KT-VI
열)마이모바일(중랑),열)마이모바일(중랑),KT-VI
영)마이통신(고대점),영)마이통신(고대점),KT-VI
웅)마카롱통신,웅)마카롱통신,KT-VI
영)만월,영)만월,KT-VI
수)만평통신(대구),수)만평통신(대구),KT-VI
민)매니아MNC,민)매니아MNC,KT-VI
영)매직정보,영)매직정보,KT-VI
열)맥스컴퍼니(동탄),열)맥스컴퍼니(동탄),KT-VI
수)맨앤텔(테크노마트),수)맨앤텔(테크노마트),KT-VI
